Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
Oliver Hirschbiegel,08 Apr 2005,Downfall,"Bernd Eichinger (screenplay), Joachim Fest (book), Traudl Junge (book), Melissa Müller (book)",2004,tt0363163,8.3,Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes,1,1,1,1,1,1,6
Guy Ritchie,28 Aug 1998,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,1998,tt0120735,8.2,Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham,2,2,1,1,1,1,8
Thomas Vinterberg,10 Jan 2013,The Hunt,"Tobias Lindholm (screenplay), Thomas Vinterberg (screenplay)",2012,tt2106476,8.3,Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm,1,1,1,1,1,1,6
Henri-Georges Clouzot,16 Feb 1955,The Wages of Fear,"Georges Arnaud (novel), Henri-Georges Clouzot (adaptation), Jérôme Géronimi (adaptation)",1953,tt0046268,8.2,Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck,2,1,1,1,1,1,7
Henri-Georges Clouzot,21 Nov 1955,Diabolique,"Pierre Boileau (novel), Thomas Narcejac (novel), Henri-Georges Clouzot (scenario and dialogue), Jérôme Géronimi (scenario and dialogue), René Masson (collaboration), Frédéric Grendel (collaboration)",1955,tt0046911,8.1,Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel,2,1,1,1,1,1,7
John McTiernan,20 Jul 1988,Die Hard,"Roderick Thorp (novel), Jeb Stuart (screenplay), Steven E. de Souza (screenplay)",1988,tt0095016,8.2,Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason,1,1,2,1,1,1,7
M. Night Shyamalan,06 Aug 1999,The Sixth Sense,M. Night Shyamalan,1999,tt0167404,8.1,Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams,1,1,2,1,1,1,7
Federico Fellini,16 Oct 1957,Nights of Cabiria,"Maria Molinari (novel), Federico Fellini (story), Ennio Flaiano (story), Tullio Pinelli (story), Federico Fellini (screenplay), Ennio Flaiano (screenplay), Tullio Pinelli (screenplay), Pier Paolo Pasolini (screenplay)",1957,tt0050783,8.2,Giulietta Masina, François Périer, Franca Marzi, Dorian Gray,2,1,1,1,1,1,7
Federico Fellini,25 Jun 1963,8½,"Federico Fellini (story), Ennio Flaiano (story), Ennio Flaiano (screenplay), Tullio Pinelli (screenplay), Federico Fellini (screenplay), Brunello Rondi (screenplay)",1963,tt0056801,8.1,Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo,2,1,1,1,1,1,7
Juan José Campanella,21 May 2010,The Secret in Their Eyes,"Eduardo Sacheri, Juan José Campanella, Eduardo Sacheri (novel)",2009,tt1305806,8.2,Soledad Villamil, Ricardo Darín, Carla Quevedo, Pablo Rago,1,1,1,1,1,1,6
Ingmar Bergman,22 Jun 1959,Wild Strawberries,Ingmar Bergman,1957,tt0050986,8.2,Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand,4,2,1,1,1,2,11
Ingmar Bergman,16 Mar 1967,Persona,Ingmar Bergman (story and screenplay),1966,tt0060827,8.1,Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand,4,1,1,1,1,2,10
Ingmar Bergman,17 Dec 1982,Fanny and Alexander,Ingmar Bergman,1982,tt0083922,8.1,Kristina Adolphson, Börje Ahlstedt, Pernilla Allwin, Kristian Almgren,4,2,1,1,1,1,10
"Clyde Bruckman, Buster Keaton",24 Feb 1927,The General,"Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)",1926,tt0017925,8.2,Buster Keaton, Marion Mack, Glen Cavender, Jim Farley,1,1,1,1,1,1,6
Guillermo del Toro,19 Jan 2007,Pan's Labyrinth,Guillermo del Toro,2006,tt0457430,8.2,Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones,1,1,1,1,1,1,6
"Victor Fleming, George Cukor, Sam Wood",17 Jan 1940,Gone with the Wind,"Margaret Mitchell (story of the old south ""Gone with the Wind""), Sidney Howard (screenplay)",1939,tt0031381,8.2,Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes,1,1,1,1,1,1,6
